Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
ATU,ACTUANT CORP CLASS A,Equity,0.22,25.95,"2,516,079.00","65,292,250.05","65,292,250.05",Industrials,2716792,US00508X2036,New York Stock Exchange Inc.
IOSP,INNOSPEC INC,Equity,0.22,64,"1,018,748.00","65,199,872.00","65,199,872.00",Materials,2245597,US45768S1050,NASDAQ
SBRA,SABRA HEALTH CARE REIT INC,Equity,0.22,23.43,"2,762,691.00","64,729,850.13","64,729,850.13",Real Estate,B5NLBP6,US78573L1061,NASDAQ
NTRI,NUTRISYSTEM INC,Equity,0.22,52.05,"1,243,507.00","64,724,539.35","64,724,539.35",Consumer Discretionary,2620398,US67069D1081,NASDAQ
APOG,APOGEE ENTERPRISES INC,Equity,0.22,53.28,"1,214,463.00","64,706,588.64","64,706,588.64",Industrials,2046176,US0375981091,NASDAQ
NBTB,NBT BANCORP INC,Equity,0.22,35.14,"1,838,811.00","64,615,818.54","64,615,818.54",Financials,2626459,US6287781024,NASDAQ
HMSY,HMS HOLDINGS CORP,Equity,0.22,18.22,"3,540,486.00","64,507,654.92","64,507,654.92",Health Care,2418043,US40425J1016,NASDAQ
SFBS,SERVISFIRST BANCSHARES INC,Equity,0.22,34.24,"1,880,915.00","64,402,529.60","64,402,529.60",Financials,BMH0MP5,US81768T1088,NASDAQ
EXPO,EXPONENT INC,Equity,0.22,59.3,"1,085,899.00","64,393,810.70","64,393,810.70",Industrials,2330318,US30214U1025,NASDAQ
AEL,AMERICAN EQUITY INVESTMENT LIFE HO,Equity,0.22,25.06,"2,568,164.00","64,358,189.84","64,358,189.84",Financials,2191300,US0256762065,New York Stock Exchange Inc.
SFNC,SIMMONS FIRST NATIONAL CORP CLASS,Equity,0.22,50.75,"1,262,407.00","64,067,155.25","64,067,155.25",Financials,2810133,US8287302009,NASDAQ
MTH,MERITAGE CORP,Equity,0.22,39.9,"1,595,963.00","63,678,923.70","63,678,923.70",Consumer Discretionary,2601326,US59001A1025,New York Stock Exchange Inc.
XPER,XPERI CORP,Equity,0.21,30.65,"2,071,486.00","63,491,045.90","63,491,045.90",Information Technology,BYXQNK3,US98421B1008,NASDAQ
KRG,KITE REALTY GROUP TRUST REIT TRUST,Equity,0.21,17.97,"3,525,817.00","63,358,931.49","63,358,931.49",Real Estate,BPBSZJ1,US49803T3005,New York Stock Exchange Inc.
WDFC,WD-40,Equity,0.21,105.7,"596,837.00","63,085,670.90","63,085,670.90",Consumer Staples,2944742,US9292361071,NASDAQ
MEI,METHODE ELECTRONICS INC,Equity,0.21,40.15,"1,560,529.00","62,655,239.35","62,655,239.35",Information Technology,2583297,US5915202007,New York Stock Exchange Inc.
ESE,ESCO TECHNOLOGIES INC,Equity,0.21,57.6,"1,087,130.00","62,618,688.00","62,618,688.00",Industrials,2321583,US2963151046,New York Stock Exchange Inc.
VECO,VEECO INSTRUMENTS INC,Equity,0.21,31.45,"1,990,596.00","62,604,244.20","62,604,244.20",Information Technology,2938422,US9224171002,NASDAQ
