iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"37,155,979,820.85"
Shares Outstanding,"472,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BCPC","BALCHEM CORP","Equity","0.32","79.00","1,496,553.00","118,227,687.00","118,227,687.00","Materials","2072074","US0576652004","NASDAQ"
"KFY","KORN FERRY INTERNATIONAL","Equity","0.32","44.56","2,649,277.00","118,051,783.12","118,051,783.12","Industrials","2386849","US5006432000","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.31","64.26","1,818,544.00","116,859,637.44","116,859,637.44","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"ITRI","ITRON INC","Equity","0.31","73.20","1,591,955.00","116,531,106.00","116,531,106.00","Information Technology","2471949","US4657411066","NASDAQ"
"MDR","MCDERMOTT INTERNATIONAL INC","Equity","0.31","8.78","13,252,183.00","116,354,166.74","116,354,166.74","Energy","2550310","PA5800371096","New York Stock Exchange Inc."
"GWB","GREAT WESTERN BANCORP INC","Equity","0.31","42.15","2,759,306.00","116,304,747.90","116,304,747.90","Financials","BRHZ1X6","US3914161043","New York Stock Exchange Inc."
"SSD","SIMPSON MANUFACTURING INC","Equity","0.31","58.74","1,970,961.00","115,774,249.14","115,774,249.14","Industrials","2809250","US8290731053","New York Stock Exchange Inc."
"IRBT","IROBOT CORP","Equity","0.31","88.75","1,300,194.00","115,392,217.50","115,392,217.50","Consumer Discretionary","B0J2NS5","US4627261005","NASDAQ"
"HOPE","HOPE BANCORP INC","Equity","0.31","19.04","6,035,353.00","114,913,121.12","114,913,121.12","Financials","BYN87K7","US43940T1097","NASDAQ"
"SHOO","STEVEN MADDEN LTD","Equity","0.31","46.20","2,485,223.00","114,817,302.60","114,817,302.60","Consumer Discretionary","2553911","US5562691080","NASDAQ"
"PSB","PS BUSINESS PARKS REIT INC","Equity","0.30","122.11","932,596.00","113,879,297.56","113,879,297.56","Real Estate","2707956","US69360J1079","New York Stock Exchange Inc."
"AXE","ANIXTER INTERNATIONAL INC","Equity","0.30","83.70","1,349,357.00","112,941,180.90","112,941,180.90","Information Technology","2468844","US0352901054","New York Stock Exchange Inc."
"WAGE","WAGEWORKS INC","Equity","0.30","60.55","1,860,885.00","112,676,586.75","112,676,586.75","Industrials","B6WG4R2","US9304271094","New York Stock Exchange Inc."
"MGLN","MAGELLAN HEALTH INC","Equity","0.30","99.60","1,127,517.00","112,300,693.20","112,300,693.20","Health Care","2307787","US5590792074","NASDAQ"
"SRCI","SRC ENERGY INC","Equity","0.30","9.95","11,268,001.00","112,116,609.95","112,116,609.95","Energy","BD8ZX20","US78470V1089","Nyse Mkt Llc"
"CVBF","CVB FINANCIAL CORP","Equity","0.30","23.40","4,789,388.00","112,071,679.20","112,071,679.20","Financials","2160645","US1266001056","NASDAQ"
"PRGS","PROGRESS SOFTWARE CORP","Equity","0.30","49.83","2,233,608.00","111,300,686.64","111,300,686.64","Information Technology","2705198","US7433121008","NASDAQ"
"SMTC","SEMTECH CORP","Equity","0.30","35.80","3,092,378.00","110,707,132.40","110,707,132.40","Information Technology","2795542","US8168501018","NASDAQ"
"DRH","DIAMONDROCK HOSPITALITY REIT","Equity","0.29","11.76","9,350,099.00","109,957,164.24","109,957,164.24","Real Estate","B090B96","US2527843013","New York Stock Exchange Inc."
"SJI","S JERSEY INDS INC","Equity","0.29","29.44","3,717,502.00","109,443,258.88","109,443,258.88","Utilities","2825933","US8385181081","New York Stock Exchange Inc."
"IIVI","II VI INC","Equity","0.29","42.65","2,563,469.00","109,331,952.85","109,331,952.85","Information Technology","2452698","US9021041085","NASDAQ"
"VG","VONAGE HOLDINGS CORP","Equity","0.29","11.19","9,732,332.00","108,904,795.08","108,904,795.08","Telecommunications","B15JLG1","US92886T2015","New York Stock Exchange Inc."
"MMSI","MERIT MEDICAL SYSTEMS INC","Equity","0.29","46.45","2,341,870.00","108,779,861.50","108,779,861.50","Health Care","2580555","US5898891040","NASDAQ"
"MRCY","MERCURY SYSTEMS INC","Equity","0.29","48.02","2,259,029.00","108,478,572.58","108,478,572.58","Industrials","2144047","US5893781089","NASDAQ"
"ONB","OLD NATIONAL BANCORP","Equity","0.29","17.30","6,258,287.00","108,268,365.10","108,268,365.10","Financials","2658441","US6800331075","NASDAQ"
"SFNC","SIMMONS FIRST NATIONAL CORP CLASS","Equity","0.29","58.85","1,829,079.00","107,641,299.15","107,641,299.15","Financials","2810133","US8287302009","NASDAQ"
