iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Nov 30, 2017"
Total Net Assets,"36,278,597,641.36"
Shares Outstanding,"468,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"OLLI","OLLIES BARGAIN OUTLET HOLDINGS INC","Equity","0.30","47.45","2,269,473.00","107,686,493.85","107,686,493.85","Consumer Discretionary","BZ22B38","US6811161099","NASDAQ"
"HA","HAWAIIAN HOLDINGS INC","Equity","0.30","43.15","2,492,566.00","107,554,222.90","107,554,222.90","Industrials","2408044","US4198791018","NASDAQ"
"POWI","POWER INTEGRATIONS INC","Equity","0.29","78.50","1,364,639.00","107,124,161.50","107,124,161.50","Information Technology","2133045","US7392761034","NASDAQ"
"RLI","RLI CORP","Equity","0.29","59.73","1,784,741.00","106,602,579.93","106,602,579.93","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"TREE","LENDINGTREE INC","Equity","0.29","301.95","351,459.00","106,123,045.05","106,123,045.05","Financials","BV8TD84","US52603B1070","NASDAQ"
"SHOO","STEVEN MADDEN LTD","Equity","0.29","42.75","2,472,133.00","105,683,685.75","105,683,685.75","Consumer Discretionary","2553911","US5562691080","NASDAQ"
"SFNC","SIMMONS FIRST NATIONAL CORP CLASS","Equity","0.29","57.90","1,815,839.00","105,137,078.10","105,137,078.10","Financials","2810133","US8287302009","NASDAQ"
"LXP","LEXINGTON REALTY TRUST REIT TRUST","Equity","0.29","10.46","10,023,517.00","104,845,987.82","104,845,987.82","Real Estate","2139151","US5290431015","New York Stock Exchange Inc."
"JJSF","J AND J SNACK FOODS CORP","Equity","0.29","151.11","693,615.00","104,812,162.65","104,812,162.65","Consumer Staples","2469171","US4660321096","NASDAQ"
"DRH","DIAMONDROCK HOSPITALITY REIT","Equity","0.29","11.19","9,314,244.00","104,226,390.36","104,226,390.36","Real Estate","B090B96","US2527843013","New York Stock Exchange Inc."
"PLAY","DAVE AND BUSTERS ENTERTAINMENT INC","Equity","0.29","53.03","1,956,754.00","103,766,664.62","103,766,664.62","Consumer Discretionary","B8SW166","US2383371091","NASDAQ"
"SMTC","SEMTECH CORP","Equity","0.28","34.05","3,037,489.00","103,426,500.45","103,426,500.45","Information Technology","2795542","US8168501018","NASDAQ"
"INGN","INOGEN INC","Equity","0.28","128.74","789,511.00","101,641,646.14","101,641,646.14","Health Care","BJSVLL5","US45780L1044","NASDAQ"
"CWT","CALIFORNIA WATER SERVICE GROUP","Equity","0.28","45.60","2,226,884.00","101,545,910.40","101,545,910.40","Utilities","2165383","US1307881029","New York Stock Exchange Inc."
"MMSI","MERIT MEDICAL SYSTEMS INC","Equity","0.28","43.45","2,332,212.00","101,334,611.40","101,334,611.40","Health Care","2580555","US5898891040","NASDAQ"
"KWR","QUAKER CHEMICAL CORP","Equity","0.28","164.78","613,553.00","101,101,263.34","101,101,263.34","Materials","2715186","US7473161070","New York Stock Exchange Inc."
