iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 29, 2018"
Total Net Assets,"36,416,672,258.46"
Shares Outstanding,"472,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PSB","PS BUSINESS PARKS REIT INC","Equity","0.30","113.04","967,351.00","109,349,357.04","109,349,357.04","Real Estate","2707956","US69360J1079","New York Stock Exchange Inc."
"IIVI","II VI INC","Equity","0.30","40.90","2,665,221.00","109,007,538.90","109,007,538.90","Information Technology","2452698","US9021041085","NASDAQ"
"SJI","S JERSEY INDS INC","Equity","0.30","28.16","3,869,984.00","108,978,749.44","108,978,749.44","Utilities","2825933","US8385181081","New York Stock Exchange Inc."
"SFNC","SIMMONS FIRST NATIONAL CORP CLASS","Equity","0.30","28.45","3,810,730.00","108,415,268.50","108,415,268.50","Financials","2810133","US8287302009","NASDAQ"
"BOFI","BOFI HOLDING INC","Equity","0.30","40.53","2,674,416.00","108,394,080.48","108,394,080.48","Financials","B0637D4","US05566U1088","NASDAQ"
"FNGN","FINANCIAL ENGINES INC","Equity","0.29","35.00","3,066,564.00","107,329,740.00","107,329,740.00","Financials","B65V2X6","US3174851002","NASDAQ"
"VG","VONAGE HOLDINGS CORP","Equity","0.29","10.65","10,065,842.00","107,201,217.30","107,201,217.30","Telecommunications","B15JLG1","US92886T2015","New York Stock Exchange Inc."
"ABM","ABM INDUSTRIES INC","Equity","0.29","33.48","3,178,539.00","106,417,485.72","106,417,485.72","Industrials","2024901","US0009571003","New York Stock Exchange Inc."
"AXE","ANIXTER INTERNATIONAL INC","Equity","0.29","75.75","1,404,041.00","106,356,105.75","106,356,105.75","Information Technology","2468844","US0352901054","New York Stock Exchange Inc."
"ROG","ROGERS CORP","Equity","0.29","119.54","888,958.00","106,266,039.32","106,266,039.32","Information Technology","2746700","US7751331015","New York Stock Exchange Inc."
"VIAV","VIAVI SOLUTIONS INC","Equity","0.29","9.72","10,918,928.00","106,131,980.16","106,131,980.16","Information Technology","BYXB201","US9255501051","NASDAQ"
"ALGT","ALLEGIANT TRAVEL","Equity","0.29","172.55","609,472.00","105,164,393.60","105,164,393.60","Industrials","B15M2C3","US01748X1028","NASDAQ"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Equity","0.28","77.70","1,339,671.00","104,092,436.70","104,092,436.70","Industrials","2943620","US9427491025","New York Stock Exchange Inc."
"INGN","INOGEN INC","Equity","0.28","122.84","841,368.00","103,353,645.12","103,353,645.12","Health Care","BJSVLL5","US45780L1044","NASDAQ"
"MDCO","MEDICINES","Equity","0.28","32.94","3,119,582.00","102,759,031.08","102,759,031.08","Health Care","2616773","US5846881051","NASDAQ"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","0.28","27.97","3,649,761.00","102,083,815.17","102,083,815.17","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"DRH","DIAMONDROCK HOSPITALITY REIT","Equity","0.28","10.44","9,752,675.00","101,817,927.00","101,817,927.00","Real Estate","B090B96","US2527843013","New York Stock Exchange Inc."
"FLOW","SPX FLOW INC","Equity","0.28","49.19","2,061,630.00","101,411,579.70","101,411,579.70","Industrials","BYMN2T7","US78469X1072","New York Stock Exchange Inc."
"AAXN","AXON ENTERPRISE INC","Equity","0.28","39.31","2,566,381.00","100,884,437.11","100,884,437.11","Industrials","BDT5S35","US05464C1018","NASDAQ"
