iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"33,765,080,116.06"
Shares Outstanding,"455,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"KFY","KORN FERRY INTERNATIONAL","Equity","0.30","39.43","2,568,664.00","101,282,421.52","101,282,421.52","Industrials","2386849","US5006432000","New York Stock Exchange Inc."
"OLLI","OLLIES BARGAIN OUTLET HOLDINGS INC","Equity","0.30","46.40","2,182,700.00","101,277,280.00","101,277,280.00","Consumer Discretionary","BZ22B38","US6811161099","NASDAQ"
"SKYW","SKYWEST INC","Equity","0.30","43.90","2,306,571.00","101,258,466.90","101,258,466.90","Industrials","2814210","US8308791024","NASDAQ"
"HOPE","HOPE BANCORP INC","Equity","0.30","17.71","5,712,589.00","101,169,951.19","101,169,951.19","Financials","BYN87K7","US43940T1097","NASDAQ"
"EE","EL PASO ELECTRIC","Equity","0.30","55.25","1,815,385.00","100,300,021.25","100,300,021.25","Utilities","2851808","US2836778546","New York Stock Exchange Inc."
"GDOT","GREEN DOT CORP CLASS A","Equity","0.30","49.58","2,017,469.00","100,026,113.02","100,026,113.02","Financials","B3WNNP3","US39304D1028","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.29","57.36","1,722,041.00","98,776,271.76","98,776,271.76","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"LXP","LEXINGTON REALTY TRUST REIT TRUST","Equity","0.29","10.22","9,621,174.00","98,328,398.28","98,328,398.28","Real Estate","2139151","US5290431015","New York Stock Exchange Inc."
"FNGN","FINANCIAL ENGINES INC","Equity","0.29","34.75","2,825,236.00","98,176,951.00","98,176,951.00","Financials","B65V2X6","US3174851002","NASDAQ"
"PLAY","DAVE AND BUSTERS ENTERTAINMENT INC","Equity","0.29","52.48","1,868,937.00","98,081,813.76","98,081,813.76","Consumer Discretionary","B8SW166","US2383371091","NASDAQ"
"DRH","DIAMONDROCK HOSPITALITY REIT","Equity","0.29","10.95","8,899,051.00","97,444,608.45","97,444,608.45","Real Estate","B090B96","US2527843013","New York Stock Exchange Inc."
"AMN","AMN HEALTHCARE INC","Equity","0.29","45.70","2,130,173.00","97,348,906.10","97,348,906.10","Health Care","2813552","US0017441017","New York Stock Exchange Inc."
"DORM","DORMAN PRODUCTS INC","Equity","0.29","71.62","1,348,917.00","96,609,435.54","96,609,435.54","Consumer Discretionary","2718594","US2582781009","NASDAQ"
"POWI","POWER INTEGRATIONS INC","Equity","0.29","73.20","1,316,789.00","96,388,954.80","96,388,954.80","Information Technology","2133045","US7392761034","NASDAQ"
"VIAV","VIAVI SOLUTIONS INC","Equity","0.29","9.46","10,158,632.00","96,100,658.72","96,100,658.72","Information Technology","BYXB201","US9255501051","NASDAQ"
"BYD","BOYD GAMING CORP","Equity","0.29","26.05","3,682,590.00","95,931,469.50","95,931,469.50","Consumer Discretionary","2117232","US1033041013","New York Stock Exchange Inc."
"MMSI","MERIT MEDICAL SYSTEMS INC","Equity","0.28","42.35","2,241,982.00","94,947,937.70","94,947,937.70","Health Care","2580555","US5898891040","NASDAQ"
"IRBT","IROBOT CORP","Equity","0.28","77.06","1,229,399.00","94,737,486.94","94,737,486.94","Consumer Discretionary","B0J2NS5","US4627261005","NASDAQ"
"BGS","B AND G FOODS INC","Equity","0.28","31.85","2,954,257.00","94,093,085.45","94,093,085.45","Consumer Staples","B034L49","US05508R1068","New York Stock Exchange Inc."
"BRKS","BROOKS AUTOMATION INC","Equity","0.28","30.36","3,088,396.00","93,763,702.56","93,763,702.56","Information Technology","2145460","US1143401024","NASDAQ"
"PLCE","CHILDRENS PLACE INC","Equity","0.28","118.15","787,304.00","93,019,967.60","93,019,967.60","Consumer Discretionary","2106791","US1689051076","NASDAQ"
"ROIC","RETAIL OPPORTUNITY INVESTMENTS REI","Equity","0.28","19.01","4,875,029.00","92,674,301.29","92,674,301.29","Real Estate","B28YD08","US76131N1019","NASDAQ"
"UCBI","UNITED COMMUNITY BANKS INC","Equity","0.28","28.54","3,243,524.00","92,570,174.96","92,570,174.96","Financials","2862156","US90984P3038","NASDAQ"
"SSD","SIMPSON MANUFACTURING INC","Equity","0.27","49.04","1,881,478.00","92,267,681.12","92,267,681.12","Industrials","2809250","US8290731053","New York Stock Exchange Inc."
"MDR","MCDERMOTT INTERNATIONAL INC","Equity","0.27","7.27","12,616,300.00","91,720,501.00","91,720,501.00","Energy","2550310","PA5800371096","New York Stock Exchange Inc."
"MGLN","MAGELLAN HEALTH INC","Equity","0.27","86.30","1,059,179.00","91,407,147.70","91,407,147.70","Health Care","2307787","US5590792074","NASDAQ"
"INDB","INDEPENDENT BANK CORP","Equity","0.27","74.65","1,218,961.00","90,995,438.65","90,995,438.65","Financials","2447821","US4538361084","NASDAQ"
"SEM","SELECT MEDICAL HOLDINGS CORP","Equity","0.27","19.20","4,724,856.00","90,717,235.20","90,717,235.20","Health Care","B4MF0Q6","US81619Q1058","New York Stock Exchange Inc."
"BANR","BANNER CORP","Equity","0.27","61.28","1,474,682.00","90,368,512.96","90,368,512.96","Financials","2346003","US06652V2088","NASDAQ"
"SUPN","SUPERNUS PHARMACEUTICALS INC","Equity","0.27","40.00","2,252,429.00","90,097,160.00","90,097,160.00","Health Care","B72ZBG4","US8684591089","NASDAQ"
