iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"34,235,870,069.89"
Shares Outstanding,"457,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKS","BROOKS AUTOMATION INC","Equity","0.31","34.39","3,120,450.00","107,312,275.50","107,312,275.50","Information Technology","2145460","US1143401024","NASDAQ"
"FMBI","FIRST MIDWEST BANCORP INC","Equity","0.31","23.09","4,641,060.00","107,162,075.40","107,162,075.40","Financials","2341439","US3208671046","NASDAQ"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","0.31","31.58","3,391,686.00","107,109,443.88","107,109,443.88","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"GWB","GREAT WESTERN BANCORP INC","Equity","0.31","40.59","2,634,650.00","106,940,443.50","106,940,443.50","Financials","BRHZ1X6","US3914161043","New York Stock Exchange Inc."
"POWI","POWER INTEGRATIONS INC","Equity","0.31","80.35","1,330,419.00","106,899,166.65","106,899,166.65","Information Technology","2133045","US7392761034","NASDAQ"
"HOPE","HOPE BANCORP INC","Equity","0.31","18.45","5,771,809.00","106,489,876.05","106,489,876.05","Financials","BYN87K7","US43940T1097","NASDAQ"
"EE","EL PASO ELECTRIC","Equity","0.31","57.50","1,834,185.00","105,465,637.50","105,465,637.50","Utilities","2851808","US2836778546","New York Stock Exchange Inc."
"MYGN","MYRIAD GENETICS INC","Equity","0.31","34.28","3,072,016.00","105,308,708.48","105,308,708.48","Health Care","2614153","US62855J1043","NASDAQ"
"ABM","ABM INDUSTRIES INC","Equity","0.31","41.97","2,508,667.00","105,288,753.99","105,288,753.99","Industrials","2024901","US0009571003","New York Stock Exchange Inc."
"BLD","TOPBUILD CORP","Equity","0.31","65.99","1,595,405.00","105,280,775.95","105,280,775.95","Consumer Discretionary","BZ0P3W2","US89055F1030","New York Stock Exchange Inc."
"SSD","SIMPSON MANUFACTURING INC","Equity","0.31","55.74","1,886,171.00","105,135,171.54","105,135,171.54","Industrials","2809250","US8290731053","New York Stock Exchange Inc."
"UFPI","UNIVERSAL FOREST PRODUCTS INC","Equity","0.30","112.90","922,835.00","104,188,071.50","104,188,071.50","Industrials","2906496","US9135431040","NASDAQ"
"FNGN","FINANCIAL ENGINES INC","Equity","0.30","36.10","2,854,564.00","103,049,760.40","103,049,760.40","Financials","B65V2X6","US3174851002","NASDAQ"
"AKR","ACADIA REALTY TRUST REIT TRUST","Equity","0.30","28.15","3,655,202.00","102,893,936.30","102,893,936.30","Real Estate","2566522","US0042391096","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.30","59.09","1,739,901.00","102,810,750.09","102,810,750.09","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"SFNC","SIMMONS FIRST NATIONAL CORP CLASS","Equity","0.30","57.70","1,772,025.00","102,245,842.50","102,245,842.50","Financials","2810133","US8287302009","NASDAQ"
"CCOI","COGENT COMMUNICATIONS HOLDINGS INC","Equity","0.29","53.90","1,855,820.00","100,028,698.00","100,028,698.00","Telecommunications","B06RWD1","US19239V3024","NASDAQ"
"TIVO","TIVO CORP","Equity","0.29","18.15","5,473,169.00","99,338,017.35","99,338,017.35","Information Technology","BD8FFY6","US88870P1066","NASDAQ"
"LXP","LEXINGTON REALTY TRUST REIT TRUST","Equity","0.29","10.12","9,720,908.00","98,375,588.96","98,375,588.96","Real Estate","2139151","US5290431015","New York Stock Exchange Inc."
"DRH","DIAMONDROCK HOSPITALITY REIT","Equity","0.28","10.86","8,991,359.00","97,646,158.74","97,646,158.74","Real Estate","B090B96","US2527843013","New York Stock Exchange Inc."
"OLLI","OLLIES BARGAIN OUTLET HOLDINGS INC","Equity","0.28","44.65","2,184,476.00","97,536,853.40","97,536,853.40","Consumer Discretionary","BZ22B38","US6811161099","NASDAQ"
"PRLB","PROTO LABS INC","Equity","0.28","87.25","1,107,519.00","96,631,032.75","96,631,032.75","Industrials","B6T6J81","US7437131094","New York Stock Exchange Inc."
"VIAV","VIAVI SOLUTIONS INC","Equity","0.28","9.28","10,264,006.00","95,249,975.68","95,249,975.68","Information Technology","BYXB201","US9255501051","NASDAQ"
"BGS","B AND G FOODS INC","Equity","0.28","31.80","2,984,901.00","94,919,851.80","94,919,851.80","Consumer Staples","B034L49","US05508R1068","New York Stock Exchange Inc."
"SUPN","SUPERNUS PHARMACEUTICALS INC","Equity","0.28","41.60","2,275,741.00","94,670,825.60","94,670,825.60","Health Care","B72ZBG4","US8684591089","NASDAQ"
"AMN","AMN HEALTHCARE INC","Equity","0.28","43.90","2,152,263.00","94,484,345.70","94,484,345.70","Health Care","2813552","US0017441017","New York Stock Exchange Inc."
"EXLS","EXLSERVICE HOLDINGS INC","Equity","0.28","62.42","1,511,599.00","94,354,009.58","94,354,009.58","Information Technology","B07LST0","US3020811044","NASDAQ"
"SHOO","STEVEN MADDEN LTD","Equity","0.27","39.00","2,405,896.00","93,829,944.00","93,829,944.00","Consumer Discretionary","2553911","US5562691080","NASDAQ"
"DORM","DORMAN PRODUCTS INC","Equity","0.27","69.11","1,351,988.00","93,435,890.68","93,435,890.68","Consumer Discretionary","2718594","US2582781009","NASDAQ"
"PLXS","PLEXUS CORP","Equity","0.27","61.43","1,518,390.00","93,274,697.70","93,274,697.70","Information Technology","2692160","US7291321005","NASDAQ"
"PRGS","PROGRESS SOFTWARE CORP","Equity","0.27","42.33","2,177,493.00","92,173,278.69","92,173,278.69","Information Technology","2705198","US7433121008","NASDAQ"
"KWR","QUAKER CHEMICAL CORP","Equity","0.27","155.32","592,726.00","92,062,202.32","92,062,202.32","Materials","2715186","US7473161070","New York Stock Exchange Inc."
"TREE","LENDINGTREE INC","Equity","0.27","268.05","342,411.00","91,783,268.55","91,783,268.55","Financials","BV8TD84","US52603B1070","NASDAQ"
"SEM","SELECT MEDICAL HOLDINGS CORP","Equity","0.27","19.15","4,773,830.00","91,418,844.50","91,418,844.50","Health Care","B4MF0Q6","US81619Q1058","New York Stock Exchange Inc."
"MATW","MATTHEWS INTERNATIONAL CORP CLASS","Equity","0.27","62.85","1,454,486.00","91,414,445.10","91,414,445.10","Industrials","2568090","US5771281012","NASDAQ"
"MGLN","MAGELLAN HEALTH INC","Equity","0.27","85.30","1,070,177.00","91,286,098.10","91,286,098.10","Health Care","2307787","US5590792074","NASDAQ"
"CWT","CALIFORNIA WATER SERVICE GROUP","Equity","0.27","42.00","2,167,792.00","91,047,264.00","91,047,264.00","Utilities","2165383","US1307881029","New York Stock Exchange Inc."
"PLAY","DAVE AND BUSTERS ENTERTAINMENT INC","Equity","0.27","48.20","1,888,301.00","91,016,108.20","91,016,108.20","Consumer Discretionary","B8SW166","US2383371091","NASDAQ"
"JJSF","J AND J SNACK FOODS CORP","Equity","0.26","133.17","676,151.00","90,043,028.67","90,043,028.67","Consumer Staples","2469171","US4660321096","NASDAQ"
"UCBI","UNITED COMMUNITY BANKS INC","Equity","0.26","27.42","3,277,176.00","89,860,165.92","89,860,165.92","Financials","2862156","US90984P3038","NASDAQ"
"MLI","MUELLER INDUSTRIES INC","Equity","0.26","34.75","2,580,411.00","89,669,282.25","89,669,282.25","Industrials","2609717","US6247561029","New York Stock Exchange Inc."
"AXE","ANIXTER INTERNATIONAL INC","Equity","0.26","68.70","1,298,137.00","89,182,011.90","89,182,011.90","Information Technology","2468844","US0352901054","New York Stock Exchange Inc."
"AWR","AMERICAN STATES WATER","Equity","0.26","53.75","1,655,971.00","89,008,441.25","89,008,441.25","Utilities","2267171","US0298991011","New York Stock Exchange Inc."
"INDB","INDEPENDENT BANK CORP","Equity","0.26","72.10","1,231,557.00","88,795,259.70","88,795,259.70","Financials","2447821","US4538361084","NASDAQ"
"ROIC","RETAIL OPPORTUNITY INVESTMENTS REI","Equity","0.26","17.98","4,925,601.00","88,562,305.98","88,562,305.98","Real Estate","B28YD08","US76131N1019","NASDAQ"
"KS","KAPSTONE PAPER AND PACKAGING CORP","Equity","0.26","22.46","3,915,881.00","87,950,687.26","87,950,687.26","Materials","B0L2NP0","US48562P1030","New York Stock Exchange Inc."
"PLCE","CHILDRENS PLACE INC","Equity","0.25","108.80","795,482.00","86,548,441.60","86,548,441.60","Consumer Discretionary","2106791","US1689051076","NASDAQ"
"SRCI","SRC ENERGY INC","Equity","0.25","9.54","9,062,071.00","86,452,157.34","86,452,157.34","Energy","BD8ZX20","US78470V1089","Nyse Mkt Llc"
"MMSI","MERIT MEDICAL SYSTEMS INC","Equity","0.25","38.05","2,265,200.00","86,190,860.00","86,190,860.00","Health Care","2580555","US5898891040","NASDAQ"
"EXPO","EXPONENT INC","Equity","0.25","73.85","1,165,410.00","86,065,528.50","86,065,528.50","Industrials","2330318","US30214U1025","NASDAQ"
"BANR","BANNER CORP","Equity","0.25","57.32","1,490,004.00","85,407,029.28","85,407,029.28","Financials","2346003","US06652V2088","NASDAQ"
