Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
LPSN,LIVEPERSON INC,Equity,0.29,36.33,"3,583,720.00","130,196,547.60","130,196,547.60",Information Technology,2577052,US5381461012,NASDAQ
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Equity,0.29,55.65,"2,321,226.00","129,176,226.90","129,176,226.90",Industrials,2086309,US03820C1053,New York Stock Exchange Inc.
FBP,FIRST BANCORP,Equity,0.29,9.88,"13,067,484.00","129,106,741.92","129,106,741.92",Financials,2296926,PR3186727065,New York Stock Exchange Inc.
KWR,QUAKER CHEMICAL CORP,Equity,0.29,166.94,"773,273.00","129,090,194.62","129,090,194.62",Materials,2715186,US7473161070,New York Stock Exchange Inc.
AEIS,ADVANCED ENERGY INDUSTRIES INC,Equity,0.29,56.35,"2,287,331.00","128,891,101.85","128,891,101.85",Information Technology,2049175,US0079731008,NASDAQ
ABCB,AMERIS BANCORP,Equity,0.29,36.83,"3,474,276.00","127,957,585.08","127,957,585.08",Financials,2038849,US03076K1088,NASDAQ
NWN,NORTHWEST NATURAL HOLDING COMPANY,Equity,0.29,69.89,"1,828,511.00","127,794,633.79","127,794,633.79",Utilities,BFNR303,US66765N1054,New York Stock Exchange Inc.
ROIC,RETAIL OPPORTUNITY INVESTMENTS REI,Equity,0.29,18.52,"6,885,799.00","127,524,997.48","127,524,997.48",Real Estate,B28YD08,US76131N1019,NASDAQ
MEDP,MEDPACE HOLDINGS INC,Equity,0.28,80.49,"1,572,940.00","126,605,940.60","126,605,940.60",Health Care,BDCBC61,US58506Q1094,NASDAQ
AEL,AMERICAN EQUITY INVESTMENT LIFE HO,Equity,0.28,23.37,"5,401,061.00","126,222,795.57","126,222,795.57",Financials,2191300,US0256762065,New York Stock Exchange Inc.
LXP,LEXINGTON REALTY TRUST REIT,Equity,0.28,10,"12,566,481.00","125,664,810.00","125,664,810.00",Real Estate,2139151,US5290431015,New York Stock Exchange Inc.
KFY,KORN FERRY,Equity,0.28,37,"3,392,108.00","125,507,996.00","125,507,996.00",Industrials,2386849,US5006432000,New York Stock Exchange Inc.
PRA,PROASSURANCE CORP,Equity,0.28,39.12,"3,201,130.00","125,228,205.60","125,228,205.60",Financials,2612737,US74267C1062,New York Stock Exchange Inc.
DRH,DIAMONDROCK HOSPITALITY REIT,Equity,0.28,10.11,"12,110,692.00","122,439,096.12","122,439,096.12",Real Estate,B090B96,US2527843013,New York Stock Exchange Inc.
PDCE,PDC ENERGY INC,Equity,0.27,32.41,"3,753,172.00","121,640,304.52","121,640,304.52",Energy,B89M5F2,US69327R1014,NASDAQ
ESE,ESCO TECHNOLOGIES INC,Equity,0.27,78.03,"1,557,552.00","121,535,782.56","121,535,782.56",Industrials,2321583,US2963151046,New York Stock Exchange Inc.
CBM,CAMBREX CORP,Equity,0.27,59.98,"2,024,065.00","121,403,418.70","121,403,418.70",Health Care,2165811,US1320111073,New York Stock Exchange Inc.
FN,FABRINET,Equity,0.27,55.03,"2,202,869.00","121,223,881.07","121,223,881.07",Information Technology,B4JSZL8,KYG3323L1005,New York Stock Exchange Inc.
SCL,STEPAN,Equity,0.27,98.22,"1,223,404.00","120,162,740.88","120,162,740.88",Materials,2845005,US8585861003,New York Stock Exchange Inc.
EVTC,EVERTEC INC,Equity,0.27,33.24,"3,601,596.00","119,717,051.04","119,717,051.04",Information Technology,B7KY3Z6,PR30040P1032,New York Stock Exchange Inc.
ABG,ASBURY AUTOMOTIVE GROUP INC.,Equity,0.27,101.48,"1,174,108.00","119,148,479.84","119,148,479.84",Consumer Discretionary,2855855,US0434361046,New York Stock Exchange Inc.
FCPT,FOUR CORNERS PROPERTY INC TRUST,Equity,0.27,28.67,"4,119,255.00","118,099,040.85","118,099,040.85",Real Estate,BZ16HK0,US35086T1097,New York Stock Exchange Inc.
